day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20221205,S1A,LOWCOV,0.43,,,,,
20221128,S1A,OK,0.894,364.0,102.0,72.0,69.0,121.0
20230103,S1A,OK,0.897,373.0,103.0,75.0,64.0,131.0
20221129,S1A,OK,0.999,362.0,119.0,82.0,59.0,102.0
20230104,S1A,OK,1.0,395.0,133.0,88.0,76.0,98.0
20221116,S1A,OK,0.897,387.0,111.0,93.0,60.0,123.0
20221111,S1A,LOWCOV,0.412,,,,,
20221105,S1A,OK,0.978,371.0,100.0,83.0,75.0,113.0
20221104,S1A,OK,0.882,376.0,107.0,91.0,48.0,130.0
20221030,S1A,LOWCOV,0.438,,,,,
20221024,S1A,OK,1.0,365.0,110.0,86.0,68.0,101.0
20221123,S1A,LOWCOV,0.439,,,,,
20221023,S1A,OK,0.895,345.0,84.0,77.0,55.0,129.0
20221018,S1A,LOWCOV,0.385,,,,,
20221117,S1A,OK,1.0,360.0,118.0,83.0,62.0,97.0
20221011,S1A,OK,0.896,418.0,115.0,98.0,67.0,138.0
20221012,S1A,OK,0.999,357.0,102.0,88.0,69.0,98.0
20220924,S1A,LOWCOV,0.434,,,,,
20220929,S1A,OK,0.892,402.0,100.0,77.0,65.0,160.0
20220918,S1A,OK,0.995,346.0,103.0,65.0,67.0,111.0
20220917,S1A,OK,0.896,389.0,97.0,89.0,70.0,133.0
20220912,S1A,LOWCOV,0.438,,,,,
20220906,S1A,OK,0.979,297.0,71.0,69.0,63.0,94.0
20220905,S1A,OK,0.856,346.0,86.0,77.0,56.0,127.0
20221006,S1A,LOWCOV,0.431,,,,,
20220831,S1A,LOWCOV,0.437,,,,,
20220825,S1A,OK,1.0,349.0,105.0,87.0,65.0,92.0
20220930,S1A,OK,0.959,332.0,87.0,76.0,70.0,99.0
20220824,S1A,OK,0.892,370.0,101.0,79.0,61.0,129.0
20220807,S1A,LOWCOV,0.438,,,,,
20220812,S1A,OK,0.895,366.0,106.0,82.0,64.0,114.0
20220813,S1A,OK,0.99,363.0,106.0,60.0,74.0,123.0
20220708,S1A,OK,0.999,348.0,107.0,76.0,66.0,99.0
20220707,S1A,OK,0.895,434.0,128.0,88.0,76.0,142.0
20220702,S1A,LOWCOV,0.438,,,,,
20220819,S1A,LOWCOV,0.436,,,,,
20220625,S1A,OK,0.866,340.0,83.0,66.0,64.0,127.0
20220626,S1A,OK,0.999,412.0,138.0,88.0,71.0,115.0
20220726,S1A,LOWCOV,0.437,,,,,
20220620,S1A,LOWCOV,0.437,,,,,
20220613,S1A,OK,0.889,386.0,114.0,76.0,60.0,136.0
20220608,S1A,LOWCOV,0.439,,,,,
20220714,S1A,LOWCOV,0.437,,,,,
20220602,S1A,OK,0.999,395.0,118.0,79.0,62.0,136.0
20220515,S1A,LOWCOV,0.434,,,,,
20220527,S1A,LOWCOV,0.433,,,,,
20220601,S1A,OK,0.885,334.0,87.0,70.0,64.0,113.0
20220520,S1A,OK,0.873,346.0,90.0,71.0,60.0,125.0
20220508,S1A,OK,0.895,366.0,105.0,73.0,68.0,120.0
20220503,S1A,LOWCOV,0.434,,,,,
20220421,S1A,LOWCOV,0.432,,,,,
20220426,S1A,OK,0.82,291.0,71.0,67.0,47.0,106.0
20220414,S1A,OK,0.884,334.0,106.0,73.0,39.0,116.0
20220415,S1A,OK,0.999,389.0,110.0,81.0,77.0,121.0
20220403,S1A,OK,0.989,303.0,78.0,74.0,54.0,97.0
20220409,S1A,LOWCOV,0.39,,,,,
20220328,S1A,LOWCOV,0.432,,,,,
20220509,S1A,OK,0.999,364.0,113.0,77.0,72.0,102.0
20220427,S1A,OK,0.949,315.0,80.0,72.0,61.0,102.0
20220321,S1A,OK,0.854,349.0,86.0,70.0,44.0,149.0
20220316,S1A,LOWCOV,0.437,,,,,
20220310,S1A,OK,1.0,398.0,109.0,85.0,67.0,137.0
20220309,S1A,OK,0.896,396.0,102.0,88.0,72.0,134.0
20220304,S1A,LOWCOV,0.438,,,,,
20220402,S1A,OK,0.871,354.0,101.0,65.0,54.0,134.0
20220226,S1A,OK,1.0,393.0,116.0,85.0,67.0,125.0
20220225,S1A,OK,0.896,394.0,100.0,82.0,72.0,140.0
20220322,S1A,OK,0.998,372.0,121.0,68.0,68.0,115.0
20220213,S1A,OK,0.896,401.0,115.0,71.0,72.0,143.0
20220214,S1A,OK,1.0,411.0,123.0,84.0,76.0,128.0
20220208,S1A,LOWCOV,0.437,,,,,
20220127,S1A,LOWCOV,0.436,,,,,
20220121,S1A,OK,1.0,384.0,121.0,80.0,65.0,118.0
20220120,S1A,OK,0.897,413.0,103.0,85.0,66.0,159.0
20220220,S1A,LOWCOV,0.428,,,,,
20220115,S1A,LOWCOV,0.437,,,,,
20220109,S1A,OK,1.0,393.0,127.0,79.0,66.0,121.0
20220202,S1A,OK,1.0,408.0,112.0,82.0,70.0,144.0
20220108,S1A,OK,0.896,399.0,114.0,84.0,67.0,134.0
20220103,S1A,LOWCOV,0.437,,,,,
20220201,S1A,OK,0.898,356.0,117.0,57.0,42.0,140.0
20211222,S1A,LOWCOV,0.435,,,,,
20211228,S1A,OK,1.0,409.0,126.0,79.0,78.0,126.0
20211227,S1A,OK,0.895,382.0,115.0,79.0,65.0,123.0
20211216,S1A,OK,1.0,376.0,119.0,80.0,65.0,112.0
20211203,S1A,OK,0.897,434.0,123.0,87.0,68.0,156.0
20211128,S1A,LOWCOV,0.437,,,,,
20211122,S1A,OK,0.998,384.0,113.0,86.0,65.0,120.0
20211121,S1A,OK,0.895,438.0,106.0,82.0,55.0,195.0
20211210,S1A,LOWCOV,0.437,,,,,
20211215,S1A,OK,0.892,384.0,103.0,69.0,59.0,153.0
20211110,S1A,OK,1.0,421.0,136.0,84.0,67.0,134.0
20211104,S1A,LOWCOV,0.436,,,,,
20211109,S1A,OK,0.895,399.0,102.0,83.0,62.0,152.0
20211029,S1A,OK,0.994,393.0,123.0,83.0,75.0,112.0
20211204,S1A,OK,1.0,395.0,120.0,76.0,71.0,128.0
20211028,S1A,OK,0.888,388.0,100.0,77.0,63.0,148.0
20211023,S1A,LOWCOV,0.433,,,,,
20211016,S1A,OK,0.869,361.0,87.0,73.0,69.0,132.0
20211011,S1A,LOWCOV,0.437,,,,,
20211017,S1A,OK,0.999,331.0,100.0,64.0,69.0,98.0
20210929,S1A,LOWCOV,0.435,,,,,
20210923,S1A,OK,0.992,337.0,90.0,65.0,69.0,113.0
20210917,S1A,LOWCOV,0.436,,,,,
20210911,S1A,OK,0.998,372.0,107.0,91.0,61.0,113.0
20210910,S1A,OK,0.896,424.0,110.0,87.0,69.0,158.0
20210905,S1A,LOWCOV,0.433,,,,,
20211005,S1A,OK,0.999,350.0,92.0,80.0,56.0,122.0
20211004,S1A,OK,0.874,336.0,79.0,80.0,47.0,130.0
20210830,S1A,OK,0.999,366.0,114.0,71.0,68.0,113.0
20210829,S1A,OK,0.896,359.0,101.0,67.0,59.0,132.0
20210824,S1A,LOWCOV,0.436,,,,,
20210818,S1A,OK,1.0,298.0,95.0,61.0,62.0,80.0
20210817,S1A,OK,0.896,404.0,114.0,75.0,59.0,156.0
20210922,S1A,OK,0.894,370.0,100.0,69.0,53.0,148.0
