_id,month,vessel_type,number_of_vessels,gross_tonnage
351,1998-08,Tug,1491,232
352,1998-08,Miscellaneous,575,3419
353,1998-09,Container,1424,26909
354,1998-09,Freighter,838,3486
355,1998-09,Bulk Carrier,325,9411
356,1998-09,Tanker,1168,22276
357,1998-09,Passenger,4203,2664
358,1998-09,Barges,1937,2165
359,1998-09,Tug,1447,232
360,1998-09,Miscellaneous,562,3809
361,1998-10,Container,1432,27850
362,1998-10,Freighter,867,3518
363,1998-10,Bulk Carrier,321,9545
364,1998-10,Tanker,1193,22987
365,1998-10,Passenger,4216,3315
366,1998-10,Barges,1995,2160
367,1998-10,Tug,1454,241
368,1998-10,Miscellaneous,600,3401
369,1998-11,Container,1415,27319
370,1998-11,Freighter,803,3556
371,1998-11,Bulk Carrier,323,9702
372,1998-11,Tanker,1171,20679
373,1998-11,Passenger,4353,2786
374,1998-11,Barges,1969,2050
375,1998-11,Tug,1479,225
376,1998-11,Miscellaneous,575,3467
377,1998-12,Container,1451,28103
378,1998-12,Freighter,862,3814
379,1998-12,Bulk Carrier,363,10649
380,1998-12,Tanker,1311,23869
381,1998-12,Passenger,4517,2849
382,1998-12,Barges,1919,2039
383,1998-12,Tug,1468,229
384,1998-12,Miscellaneous,560,3181
385,1999-01,Container,1396,28260
386,1999-01,Freighter,819,3650
387,1999-01,Bulk Carrier,387,11848
388,1999-01,Tanker,1335,24913
389,1999-01,Passenger,4455,3063
390,1999-01,Barges,1831,1980
391,1999-01,Tug,1392,237
392,1999-01,Miscellaneous,612,3319
393,1999-02,Container,1269,25424
394,1999-02,Freighter,673,3424
395,1999-02,Bulk Carrier,342,10015
396,1999-02,Tanker,1183,19014
397,1999-02,Passenger,3920,2755
398,1999-02,Barges,1617,1715
399,1999-02,Tug,1199,193
400,1999-02,Miscellaneous,540,2806
401,1999-03,Container,1415,28358
402,1999-03,Freighter,817,3643
403,1999-03,Bulk Carrier,396,11666
404,1999-03,Tanker,1291,23264
405,1999-03,Passenger,4340,3328
406,1999-03,Barges,1991,2141
407,1999-03,Tug,1489,237
408,1999-03,Miscellaneous,654,3297
409,1999-04,Container,1368,27262
410,1999-04,Freighter,791,3581
411,1999-04,Bulk Carrier,357,10770
412,1999-04,Tanker,1310,23751
413,1999-04,Passenger,4245,2801
414,1999-04,Barges,1747,2060
415,1999-04,Tug,1382,251
416,1999-04,Miscellaneous,622,3094
417,1999-05,Container,1419,28308
418,1999-05,Freighter,787,3527
419,1999-05,Bulk Carrier,351,10784
420,1999-05,Tanker,1349,25329
421,1999-05,Passenger,4332,2662
422,1999-05,Barges,1798,2014
423,1999-05,Tug,1384,231
424,1999-05,Miscellaneous,613,3122
425,1999-06,Container,1365,27525
426,1999-06,Freighter,800,3535
